building_code,room_code,type_name,name,asset_code,serial_number,installed_at,note
RT-B1,R1508,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-171,171,23/2/2026,
RT-B1,R1508,ไมค์สาย,ไมค์สาย 1,NBU3-172,172,23/2/2026,
RT-B1,R1508,ลำโพง,ลำโพง,NBU3-173,173,23/2/2026,
RT-B1,R1508,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-174,174,23/2/2026,
RT-B1,R1509,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-175,175,23/2/2026,
RT-B1,R1509,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-176,176,23/2/2026,
RT-B1,R1509,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-177,177,23/2/2026,
RT-B1,R1509,ไมค์สาย,ไมค์สาย 1,NBU3-178,178,23/2/2026,
RT-B1,R1509,ลำโพง,ลำโพง,NBU3-179,179,23/2/2026,
RT-B1,R1509,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-180,180,23/2/2026,
RT-B1,R1602,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-181,181,23/2/2026,
RT-B1,R1602,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-182,182,23/2/2026,
RT-B1,R1602,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-183,183,23/2/2026,
RT-B1,R1602,ไมค์สาย,ไมค์สาย 1,NBU3-184,184,23/2/2026,
RT-B1,R1602,ลำโพง,ลำโพง,NBU3-185,185,23/2/2026,
RT-B1,R1602,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-186,186,23/2/2026,
RT-B1,R1603,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-187,187,23/2/2026,
RT-B1,R1603,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-188,188,23/2/2026,
RT-B1,R1603,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-189,189,23/2/2026,
RT-B1,R1603,ไมค์สาย,ไมค์สาย 1,NBU3-190,190,23/2/2026,
RT-B1,R1603,ลำโพง,ลำโพง,NBU3-191,191,23/2/2026,
RT-B1,R1603,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-192,192,23/2/2026,
RT-B1,R1604,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-193,193,23/2/2026,
RT-B1,R1604,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-194,194,23/2/2026,
RT-B1,R1604,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-195,195,23/2/2026,
RT-B1,R1604,ไมค์สาย,ไมค์สาย 1,NBU3-196,196,23/2/2026,
RT-B1,R1604,ลำโพง,ลำโพง,NBU3-197,197,23/2/2026,
RT-B1,R1604,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-198,198,23/2/2026,
RT-B1,R1605,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-199,199,23/2/2026,
RT-B1,R1605,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-200,200,23/2/2026,
RT-B1,R1605,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-201,201,23/2/2026,
RT-B1,R1605,ไมค์สาย,ไมค์สาย 1,NBU3-202,202,23/2/2026,
RT-B1,R1605,ลำโพง,ลำโพง,NBU3-203,203,23/2/2026,
RT-B1,R1605,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-204,204,23/2/2026,
RT-B1,R1606,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-205,205,23/2/2026,
RT-B1,R1606,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-206,206,23/2/2026,
RT-B1,R1606,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-207,207,23/2/2026,
RT-B1,R1606,ไมค์สาย,ไมค์สาย 1,NBU3-208,208,23/2/2026,
RT-B1,R1606,ลำโพง,ลำโพง,NBU3-209,209,23/2/2026,
RT-B1,R1606,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-210,210,23/2/2026,
RT-B1,R1607,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-211,211,23/2/2026,
RT-B1,R1607,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-212,212,23/2/2026,
RT-B1,R1607,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-213,213,23/2/2026,
RT-B1,R1607,ไมค์สาย,ไมค์สาย 1,NBU3-214,214,23/2/2026,
RT-B1,R1607,ลำโพง,ลำโพง,NBU3-215,215,23/2/2026,
RT-B1,R1607,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-216,216,23/2/2026,
RT-B1,R1608,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-217,217,23/2/2026,
RT-B1,R1608,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-218,218,23/2/2026,
RT-B1,R1608,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-219,219,23/2/2026,
RT-B1,R1608,ไมค์สาย,ไมค์สาย 1,NBU3-220,220,23/2/2026,
RT-B1,R1608,ลำโพง,ลำโพง,NBU3-221,221,23/2/2026,
RT-B1,R1608,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-222,222,23/2/2026,
RT-B1,R1609,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-223,223,23/2/2026,
RT-B1,R1609,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-224,224,23/2/2026,
RT-B1,R1609,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-225,225,23/2/2026,
RT-B1,R1609,ไมค์สาย,ไมค์สาย 1,NBU3-226,226,23/2/2026,
RT-B1,R1609,ลำโพง,ลำโพง,NBU3-227,227,23/2/2026,
RT-B1,R1609,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-228,228,23/2/2026,
RT-B2,R2201,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-229,229,23/2/2026,
RT-B2,R2201,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-230,230,23/2/2026,
RT-B2,R2201,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-231,231,23/2/2026,
RT-B2,R2201,ไมค์สาย,ไมค์สาย 1,NBU3-232,232,23/2/2026,
RT-B2,R2201,ลำโพง,ลำโพง,NBU3-233,233,23/2/2026,
RT-B2,R2201,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-234,234,23/2/2026,
RT-B2,R2202,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-235,235,23/2/2026,
RT-B2,R2202,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-236,236,23/2/2026,
RT-B2,R2202,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-237,237,23/2/2026,
RT-B2,R2202,ไมค์สาย,ไมค์สาย 1,NBU3-238,238,23/2/2026,
RT-B2,R2202,ลำโพง,ลำโพง,NBU3-239,239,23/2/2026,
RT-B2,R2202,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-240,240,23/2/2026,
RT-B2,R2203,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-241,241,23/2/2026,
RT-B2,R2203,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-242,242,23/2/2026,
RT-B2,R2203,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-243,243,23/2/2026,
RT-B2,R2203,ไมค์สาย,ไมค์สาย 1,NBU3-244,244,23/2/2026,
RT-B2,R2203,ลำโพง,ลำโพง,NBU3-245,245,23/2/2026,
RT-B2,R2203,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-246,246,23/2/2026,
RT-B2,R2204,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-247,247,23/2/2026,
RT-B2,R2204,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-248,248,23/2/2026,
RT-B2,R2204,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-249,249,23/2/2026,
RT-B2,R2204,ไมค์สาย,ไมค์สาย 1,NBU3-250,250,23/2/2026,
RT-B2,R2204,ลำโพง,ลำโพง,NBU3-251,251,23/2/2026,
RT-B2,R2204,รีโมทโปรเจคเตอร์,รีโมทโปรเจคเตอร์,NBU3-252,252,23/2/2026,
RT-B2,R2205,โปรเจกเตอร์,โปรเจกเตอร์ EPSON EB-X51,NBU3-253,253,23/2/2026,
RT-B2,R2205,จอภาพโปรเจคเตอร์,จอภาพโปรเจคเตอร์,NBU3-254,254,23/2/2026,
RT-B2,R2205,เครื่องขยายเสียง,เครื่องขยายเสียง,NBU3-255,255,23/2/2026,
RT-B2,R2205,ไมค์สาย,ไมค์สาย 1,NBU3-256,256,23/2/2026,
